curveName, curveOID
secp112r1,06052b81040006
secp112r2,06052b81040007
secp128r1,06052b8104001c
secp128r2,06052b8104001d
secp160k1,06052b81040009
secp160r1,06052b81040008
secp160r2,06052b8104001e
secp192k1,06052b8104001f
secp224k1,06052b81040020
secp224r1,06052b81040021
secp256k1,06052b8104000a
secp384r1,06052b81040022
secp521r1,06052b81040023
prime192v1,06082a8648ce3d030101
prime192v2,06082a8648ce3d030102
prime192v3,06082a8648ce3d030103
prime239v1,06082a8648ce3d030104
prime239v2,06082a8648ce3d030105
prime239v3,06082a8648ce3d030106
prime256v1,06082a8648ce3d030107
sect113r1,06052b81040004
sect113r2,06052b81040005
sect131r1,06052b81040016
sect131r2,06052b81040017
sect163k1,06052b81040001
sect163r1,06052b81040002
sect163r2,06052b8104000f
sect193r1,06052b81040018
sect193r2,06052b81040019
sect233k1,06052b8104001a
sect233r1,06052b8104001b
sect239k1,06052b81040003
sect283k1,06052b81040010
sect283r1,06052b81040011
sect409k1,06052b81040024
sect409r1,06052b81040025
sect571k1,06052b81040026
sect571r1,06052b81040027
c2pnb163v1,06082a8648ce3d030001
c2pnb163v2,06082a8648ce3d030002
c2pnb163v3,06082a8648ce3d030003
c2pnb176v1,06082a8648ce3d030004
c2tnb191v1,06082a8648ce3d030005
c2tnb191v2,06082a8648ce3d030006
c2tnb191v3,06082a8648ce3d030007
c2pnb208w1,06082a8648ce3d03000a
c2tnb239v1,06082a8648ce3d03000b
c2tnb239v2,06082a8648ce3d03000c
c2tnb239v3,06082a8648ce3d03000d
c2pnb272w1,06082a8648ce3d030010
c2pnb304w1,06082a8648ce3d030011
c2tnb359v1,06082a8648ce3d030012
c2pnb368w1,06082a8648ce3d030013
c2tnb431r1,06082a8648ce3d030014
brainpoolP160r1,06092b2403030208010101
brainpoolP160t1,06092b2403030208010102
brainpoolP192r1,06092b2403030208010103
brainpoolP192t1,06092b2403030208010104
brainpoolP224r1,06092b2403030208010105
brainpoolP224t1,06092b2403030208010106
brainpoolP256r1,06092b2403030208010107
brainpoolP256t1,06092b2403030208010108
brainpoolP320r1,06092b2403030208010109
brainpoolP320t1,06092b240303020801010a
brainpoolP384r1,06092b240303020801010b
brainpoolP384t1,06092b240303020801010c
brainpoolP512r1,06092b240303020801010d
brainpoolP512t1,06092b240303020801010e
SM2,06082a811ccf5501822d
